Date     Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High 
192803  40.05  -1.16   2.07  -2.57   9.29   4.50  11.80   6.91   8.34  14.30   6.86  11.25  10.23   2.79  11.58  16.06   9.09   5.49   7.77   7.84  15.76   5.23   6.66   5.65  16.73
192804 -12.87   8.46  17.11   2.81  15.01   0.64  23.21   3.73   6.57   9.86   8.38   3.50   7.09   4.30   6.62   5.16   4.95   2.38   4.54   4.03   1.42   6.80   6.62   2.77   3.31
192805  17.72   0.35   4.37  14.64   6.32   1.83   3.81   6.61   5.43   2.24   2.90   7.61   1.27  -1.92  -3.17   5.32  -0.39   1.11   1.16   2.57   2.09   2.14  -0.54   1.21  -3.88
192806 -19.27  -7.42 -13.27  -9.28  -8.64  -5.65  -9.27  -8.44  -6.92  -7.36  -6.71  -4.60  -7.41  -7.03  -6.90  -7.04  -5.52  -3.43  -5.79  -5.78  -3.05  -3.63  -3.51  -4.86  -9.11
192807  -2.02   3.57   4.20   1.74  -0.43  -0.03  -3.43  -1.27   0.98  -2.50  -0.10  -0.31  -0.68   0.40   1.28   0.83  -0.61   1.19   1.72   0.87   1.60   0.24   0.20   0.21   0.77
192808   7.53   0.55   4.29   1.93   3.97   7.56   3.40   3.94   3.52   3.67   5.38   9.03   8.19   4.11   8.28  10.16   8.16   5.99   8.66   7.73   8.65   6.65   5.07   4.91   4.98
192809   3.71   3.16   2.29  -1.55  13.14   2.73   2.81   6.18   5.06  14.05   4.22   4.74   5.30   6.62   3.09   5.87   6.46   2.95   3.06   5.92   3.35   1.06   2.27   0.61   6.96
192810  -3.94  -3.87   4.68   3.74   5.80   5.07   2.97   2.09   1.01   3.25   5.67   4.97   2.70   0.35  -2.50   0.74  -1.02  -1.65   5.11  -3.66   1.53   2.90   1.16   0.12   4.75
192811   3.86  30.18  12.91  14.85  12.55   6.81   7.82  10.52  12.76   8.39   8.73  11.35  19.36  13.15  16.02  11.17  11.80   9.24   8.25  14.26  11.58  10.42  15.90   9.66  17.89
192812  -5.43  -7.60  -5.05  -3.61  -1.73  -2.72  -2.39  -0.23  -2.51   0.39   3.73  -0.12   0.48   1.09  -0.11   3.13   3.70   0.27   2.03  -3.34   0.46   1.29  -1.26   1.72   0.37
192901   2.92   8.25   1.73   3.17   4.85   2.88   1.42   1.84  -0.40  -0.32   1.50   4.76  -3.58   3.03   2.58   4.64   4.89   4.26   0.55   1.14   6.39  10.53   2.09   5.36   0.02
192902   0.96  -8.01  -4.58   1.57  -1.31  -3.75   2.25   3.96   2.20   5.50   1.26   0.20  -0.35   3.80   0.27  -1.33   1.42   3.03   0.64   1.93  -0.75   0.94   0.01   1.74   3.46
192903 -14.53  -0.59   2.22  -7.74  -2.03  -4.32  -5.79  -5.22  -2.89  -4.08  -7.06  -4.91  -3.28  -2.63  -5.76  -4.49  -5.14   0.08  -1.13  -1.13  -0.21   0.83   3.63  -0.02   0.77
192904  -4.42  -8.84   6.62   4.97  -2.19   1.12   0.35   4.62  -2.11   6.39   1.04   0.68   3.06   0.32  -0.36   3.06   0.27   0.09   1.24   4.57   2.17   2.74   1.18   0.11   2.86
192905 -21.88  -6.41 -16.60 -15.41 -13.24 -11.20 -11.76  -7.57 -13.80 -13.50  -6.27 -10.50  -7.53  -9.52  -9.08  -7.35 -10.50  -3.29  -5.02   0.94  -5.77  -5.68  -2.83  -3.30  -1.67
192906  16.00   4.07   4.76   7.17   6.90   3.56   6.84  11.27   5.23   6.40   6.91  10.86  10.27   7.14   8.55  13.27  10.75  11.16   9.13   3.59  11.91  13.63   7.86   7.92   4.74
192907   1.24  -5.03  -3.89  -8.31   2.66  -2.30   2.24  -1.16   0.37   5.46   0.44   4.00   1.20  -0.14  10.90   2.73   2.56   2.08   2.35   4.44   2.86   6.78   5.93   8.48   5.14
192908  -4.13  -5.03 -10.23   3.00  -4.27  -1.29   0.47   0.58   0.85  -0.27   1.75   0.69   5.35   2.24  -0.44   4.88  -0.18   4.18   5.86   7.76   6.58  10.85  14.73  13.41   6.82
192909 -10.31 -11.93  -6.96  -6.95  -9.76  -7.57  -0.54  -4.00  -6.08  -2.32  -9.26  -0.46  -2.14  -3.84  -0.64   0.67   1.74  -4.82  -3.75  -7.24  -5.82  -2.58  -4.73  -7.19  -6.87
192910 -26.29 -26.17 -18.09 -24.70 -16.59 -19.61 -18.75 -21.41 -16.08 -16.94 -28.26 -19.55 -12.52 -15.63 -19.37 -31.01 -21.37 -17.37 -13.53 -17.02 -24.45 -19.38 -14.28 -10.60  -7.49
192911  -1.36 -24.86  -4.87 -15.51 -15.02 -19.39 -13.74 -10.10 -10.27 -14.45 -14.03 -13.64  -7.08  -8.91 -12.07 -14.60 -14.42  -6.76  -9.27 -11.39 -13.19 -17.09 -10.30  -9.65  -6.33
192912  -0.42 -10.90  -5.98  -9.62  -3.13  -4.71  -7.07  -6.91   0.53  -3.99  -2.10  -0.43   2.73  -2.98   5.11   3.37  -3.04  -2.96   1.08  10.95   3.69   3.37   0.71   0.64   0.88
193001  -2.78  17.95  19.62  13.77  11.37   7.84  11.30   9.64   4.71  12.96   9.62  10.45   4.48   6.15   4.22   7.24   4.63   5.43   3.49   3.94   6.93   7.37   1.19   4.99  -0.41
193002  16.97   7.64  -0.66  -2.21   3.15  -1.91   2.61   3.81   1.41   5.36   1.78   2.99   2.70   2.88   3.02   0.43   7.77  -1.28   0.31   1.00   3.17   3.58   1.98   1.49   4.97
193003  22.82   8.63   7.34  17.24  10.64   6.27   2.74  14.25   8.36   5.88   9.52   8.95   8.15   7.91  14.53   6.80   6.04   6.96  12.57  10.94   6.68   6.34  11.03   4.49   2.13
193004  -6.91  -4.30  -6.85  -7.83  -5.75  -8.81  -3.35  -2.78  -3.86  -4.87  -3.81  -5.16  -3.29  -4.65  -2.27  -2.50  -6.22  -4.84  -5.97  -4.45  -0.82  -3.40  -0.05  -6.18  -7.34
193005  -2.41 -10.30   3.91  -5.01  -6.28  -5.83  -2.85  -4.81  -4.33  -2.85  -3.69  -0.71  -3.71  -2.52   0.22  -3.32  -3.43  -3.65   0.28  -4.81   0.86   0.23  -2.01  -1.52  -0.80
193006 -13.45 -24.97 -15.60 -16.91 -20.37 -23.80 -17.29 -16.45 -17.40 -18.77 -14.43 -17.53 -13.78 -14.54 -17.36 -21.89 -17.68 -16.62 -13.44 -18.50 -17.70 -16.26 -13.90  -9.54  -9.66
193007   1.11   4.70  14.76   2.44   1.04   7.04   7.19   4.84   2.75   0.65   6.43   5.21   2.99   4.81   3.26   5.79   4.84   4.08   2.37  -0.16   5.16   3.82   3.49   2.73 -99.99
193008  -9.00  -5.58  -3.82  -4.61  -3.41  -3.38   1.52  -0.85  -3.49  -0.77  -4.00  -1.10  -0.64  -2.54  -1.13   1.33  -1.33  -1.84  -1.86   4.78   1.38  -0.28   0.36  -2.54 -99.99
193009 -29.20 -35.52 -28.01 -21.80 -19.43 -13.95 -12.49 -15.82 -15.41 -20.13 -11.98 -15.61 -12.55 -15.43 -21.97 -12.84 -13.49 -13.48 -12.35 -22.23 -12.63 -11.62  -9.39 -15.13 -99.99
193010 -29.13  -6.26  -7.87 -13.29  -9.72  -6.10 -11.72 -10.06 -10.13  -8.47 -13.31 -10.97  -5.71 -10.99 -18.86 -11.53  -8.48  -9.04 -10.61 -12.41 -10.03  -6.92  -6.84  -9.11 -99.99
193011  20.29 -16.50  -1.50  -0.36  -3.72  -6.12   0.60  -3.90  -2.67  -4.69  -0.80  -0.25  -3.03   1.79  -5.03  -0.79   1.52  -1.82  -5.73   2.21  -2.46  -1.59  -4.89  -7.45 -99.99
193012 -21.83 -35.46 -19.60 -13.08 -16.97 -13.68 -10.73 -13.29 -17.37 -18.09  -5.14 -10.33  -7.79 -10.52 -17.51  -7.96  -8.56 -12.33  -9.44 -16.27  -5.42  -8.16  -7.27 -11.32 -99.99
193101 -23.95  30.36  12.05  16.77  19.48  12.22  11.06  14.00  14.74  14.68  10.38   9.88   9.91   7.68  18.47   7.64   6.33   5.54   8.22  11.92   4.32   4.67   7.69  17.37 -99.99
193102  21.83  28.14  49.81  25.70  23.20   9.16  10.75  11.75  11.81  16.74  14.97  14.75  11.23  11.49  12.97  13.20  11.77   9.13   6.38  17.04  13.97   8.87   5.16   7.90 -99.99
193103  -9.07  -1.21  -1.44  -4.61  -8.87  -1.05  -7.53   4.19  -5.50   0.41  -0.17  -8.16  -3.10  -4.67 -12.64  -6.86  -6.64  -8.86 -11.00  -0.73  -3.69  -8.33  -9.55 -11.32 -99.99
193104 -17.43 -24.14 -24.11 -15.57 -15.81 -15.63 -15.92 -12.49 -14.79 -20.98 -10.94 -15.48 -12.39 -17.43 -17.57 -13.58 -10.69 -16.62 -11.47  -4.85  -9.01  -8.28 -10.40 -10.68 -99.99
193105  -9.06  -2.61 -16.98 -10.91 -15.66  -8.86  -6.82  -5.93 -11.53 -12.59 -14.95 -14.82  -8.98 -12.55 -16.66 -10.86 -12.46 -18.15 -24.62 -25.61 -11.58 -11.17 -17.87 -18.51 -99.99
193106  25.86   1.41  17.55  12.78  17.06   9.83   5.98   2.28  12.82  21.36  12.88  13.87   7.84  17.94  28.83  14.85  15.48  19.96  30.73  25.87  12.74  13.82  15.27  22.54 -99.99
193107  -6.34 -11.41  -9.69  -7.04  -5.21  -3.40  -7.50  -7.11  -5.66  -7.73  -6.85  -7.04 -10.23  -7.79 -14.11  -4.60  -5.29  -8.77  -9.09 -13.55  -5.23  -6.98 -10.96 -13.39   0.00
193108 -13.22  -0.29  -5.02  -5.60  -5.44   4.17  -0.60   2.12   0.66  -4.69  -0.37  -0.81  -1.24  -3.54  -4.65  -0.11  -2.90   1.50   3.79   6.65   0.06   1.81  -1.06  -3.73   8.43
193109 -49.47 -30.54 -28.41 -34.76 -31.86 -24.70 -32.45 -34.45 -30.40 -37.95 -27.08 -29.27 -31.93 -32.49 -34.56 -28.94 -24.62 -30.58 -34.07 -41.46 -28.40 -25.34 -31.35 -32.29 -45.56
193110  12.68  -3.01   0.55   7.78   6.50   7.28   5.91   7.99   7.21  10.19   1.33  11.78  12.39   8.41  11.10   8.81   5.23  12.13  12.24  13.13   9.05   7.19   0.63   1.57  20.41
193111 -23.98 -22.29 -10.28  -8.55 -11.52  -8.38  -9.92  -6.73  -4.32 -11.45  -5.80  -9.12  -5.78 -10.94 -11.60  -8.01  -2.72 -11.12 -13.61 -11.48  -6.26 -11.15 -20.13 -22.37  -6.78
193112 -25.30  -2.91 -19.40 -26.67 -25.69 -15.83 -11.36 -15.67 -17.43 -24.46 -15.29 -17.49 -17.47 -14.06 -15.52 -11.12 -13.09 -11.64 -21.55 -25.78 -10.41 -16.42 -21.91 -22.98 -30.91
193201   5.55  -5.99   8.31  15.58   6.24  -1.33  -1.37   6.09  13.21  16.97  -0.89   3.94   2.25  -1.75   6.29  -2.59  -1.56  -0.28   3.84   1.94  -3.63  -1.47   2.16  12.85   7.89
193202 -12.79  -0.02   5.88  -2.81   3.43   5.94  -0.08  -2.72  -4.54  -0.70   1.05   3.16   2.82   0.30  -2.04   5.24   2.40  -1.51   1.27   3.76   7.13   5.63   4.31  -4.10  14.63
193203 -23.02  -3.91  -3.25 -11.80 -11.52 -16.44 -13.89 -10.90  -3.87 -13.52  -8.71 -13.66 -11.46 -13.20 -11.51 -10.19 -10.76 -12.54 -12.40 -10.15 -10.75 -10.51 -13.66 -22.61   2.13
193204 -40.76 -16.83 -25.82 -18.68 -17.84 -17.80 -10.90 -16.83 -16.99 -16.38 -18.94 -13.25 -14.28 -15.80 -21.08 -13.63 -17.17 -17.02 -14.23 -15.20 -17.68 -20.94 -19.28 -22.04 -22.92
193205 -12.86 -35.24  -5.89  -3.79 -10.79 -10.42 -21.60 -20.82 -17.90 -18.42 -24.00 -23.45 -28.17 -24.84 -29.50 -20.24 -19.63 -19.30 -18.59 -27.94 -20.59 -17.03 -30.91 -37.25 -10.81
193206  35.79 -16.99   5.30  -5.21  -3.49  -9.45  -0.95  -5.87  11.09   4.48   7.08   2.60   7.48   5.90   3.75   0.87   4.36  -4.18   9.39   0.48  -3.11  -0.18   5.10   8.73  21.21
193207 147.50   6.18  32.35  38.54  52.45  37.50  31.21  41.51  45.93  72.02  29.30  30.35  39.72  54.87  68.72  29.61  35.12  34.30  71.66  80.04  26.14  37.09  50.07  56.95  98.04
193208  49.49 103.42  84.05  84.64 101.46  34.39  61.86  55.52  63.51  87.99  60.21  40.34  46.13  68.10  74.38  27.98  46.21  60.70  67.06  86.60  29.97  35.05  47.24  52.01  65.35
193209 -27.03  -2.10   0.69  -5.86 -17.06  -0.72  -9.62  -5.56  -8.10 -12.72  -6.57  -7.25  -2.66 -11.69  -9.41   1.04  -4.93  -6.67  -8.08  -8.90   0.16  -6.56  -8.48  -2.74  15.57
193210  -9.26 -21.09 -22.58 -19.68 -19.62 -12.41 -24.61 -17.21 -24.33 -22.82 -14.78 -16.63 -20.94 -23.26 -25.70 -10.49 -17.72 -18.76 -20.48 -25.69 -11.19  -9.85 -15.27 -19.38 -30.05
193211 -26.53  -9.14 -11.52 -11.45  -6.85  -3.96  -7.80  -8.78  -7.86 -17.08  -4.15  -1.91  -8.47 -11.16 -15.11   2.76  -6.07  -8.70 -15.82 -19.98  -2.82  -1.62 -10.39  -8.49 -31.11
193212   6.94 -13.36 -17.19 -12.14 -16.05 -18.67  -8.39  -1.88 -12.46  -7.45  -5.58   3.39   1.25  -4.46  -6.62   4.65   0.59   2.71  -0.36  -9.93   7.13   7.24   1.46  -7.56  15.05
193301  57.14  -6.71  -3.19  -7.52   3.80   7.54   7.92   3.19   5.41   7.65   2.22   6.44   2.55   3.62  12.82   2.10   3.24   2.90   7.52  16.53  -0.28  -0.40   4.88   3.92  14.95
193302 -44.63 -11.34 -24.55 -15.41 -15.98 -26.86 -27.55 -19.51 -19.91 -21.15 -16.46 -17.82 -18.56 -19.62 -19.79 -13.11 -15.79 -12.99 -13.02 -22.97 -14.43 -17.34 -15.16 -17.57 -24.39
193303 -16.42  -3.77   2.97   6.19  18.89  14.39  10.25   3.04  12.10  21.06   0.54   9.85   6.66  15.76   8.72  10.23  12.47  15.78   9.00   7.99  -0.12   5.28   6.67   7.61   7.53
193304   7.14  68.99 106.46  38.29  48.89  28.20  53.55  60.60  61.51  52.87  48.43  41.84  59.29  55.35  63.95  34.53  57.32  47.93  46.58  74.45  31.04  39.07  46.91  60.69  52.00
193305  73.33 101.43  60.59 114.24 100.14  76.31  72.34  75.59  76.64  60.38  60.01  40.85  43.70  58.76  51.18  22.57  29.35  35.75  40.49  62.84  17.15  14.38  21.30  32.80  25.00
193306  73.08  75.71  41.07  29.18  23.98  23.64  15.31  22.06  21.65  17.22  28.43  12.87  14.99  17.40  33.28  12.41  11.88  15.82  18.15  14.83  11.12  13.15  14.66  20.81   4.74
193307  -3.23 -13.20  -7.50  -1.14  -6.49  -9.78 -15.30 -10.03 -11.74   0.27 -10.93 -14.13 -14.68 -16.00 -17.66 -10.07  -9.64 -13.98 -12.40  -6.54  -8.34 -11.43 -11.88 -10.18  -7.61
193308   0.00   8.08  11.43   4.78   1.58   5.18  11.30   9.24   7.49   7.99  14.49  19.94  14.14  13.02  16.19  14.88  14.90  16.56  17.62  21.33   8.72  16.39  15.93  13.72  23.58
193309 -16.67 -16.34 -20.55 -17.12 -17.19  -4.08 -12.76 -17.68 -12.83 -26.93 -10.65  -9.85 -14.31 -15.01 -25.42  -6.45 -11.16 -16.86 -10.74 -22.09  -9.68  -7.21 -11.29 -17.44 -27.29
193310 -12.00 -18.07  -4.28  -9.70 -15.56 -15.18  -8.20 -14.85 -13.22  -8.91  -6.69 -10.53 -12.27 -15.30 -14.98  -4.59  -6.94 -10.66 -14.85 -19.20  -6.75  -4.78 -10.66 -17.45 -19.15
193311   0.00   4.81  -3.92  11.47   8.50   1.81   7.50   5.37   7.74   0.02   8.00   6.42   8.81   4.38  10.26   5.32  10.79   7.31   9.63  10.97   9.96   9.92  14.33  15.35   9.17
193312 -36.36  -2.67  -8.05  -1.57   2.55   3.57   9.29   7.52  -2.14  -0.23   0.90   4.10   6.41   4.08   5.34   0.37   1.67   7.48  -0.67   7.65   1.86   1.88   0.58   5.46   7.97
193401 100.00  45.51  42.11  41.48  40.87  21.52  22.48  33.26  31.79  49.27  38.17  19.46  26.62  24.61  31.72  11.55  15.40  23.23  20.78  28.86   9.90   9.52  15.81  17.24  37.98
193402 -14.29  14.66   6.93  13.53   5.67   6.53   0.34   0.35  -1.14  11.33   1.29   0.71   4.68   3.92  -0.26  -3.20  -1.65  -2.62   1.00   0.44  -2.37  -2.47  -4.65  -5.55  -5.42
193403   8.33   0.62   3.23   4.06  -2.31   3.03   1.56   0.42   1.28   2.26   6.22   3.63   0.72  -1.16  -4.39   1.85   1.11   1.07  -1.02   0.12  -0.15   0.03  -1.27  -0.87   0.58
193404   0.00   3.95   5.02   6.09  -0.03   8.46   1.87  -3.17   1.10  -7.31  -2.95  -3.38  -2.62  -1.16  -2.96  -0.42   0.24   0.13  -5.94  -6.69  -2.10  -1.14  -1.86  -5.77  -5.76
193405 -11.54 -11.96 -12.26 -12.75 -16.71 -10.95  -8.47 -11.17 -12.37  -6.15  -6.87  -7.89 -10.17  -8.76 -14.46  -5.82  -7.39 -10.11  -9.05 -15.20  -6.22  -6.94  -6.20 -13.35 -18.82
193406 -21.74  -2.89   1.40  -1.33   0.46  -0.07   3.67  -2.48  -0.70 -10.02   3.66   3.50   0.18   2.09  -0.50   4.00   4.42   1.17   5.76  -0.88   2.17   2.89   3.07   3.17   4.88
193407 -19.68 -29.57 -28.79 -23.98 -22.87 -20.16 -18.15 -22.83 -26.87 -24.49 -15.73 -16.70 -15.09 -19.96 -23.97 -12.47 -10.15 -14.06 -18.38 -35.35  -7.27  -8.22 -14.57 -18.30 -31.03
193408  16.44  16.63   9.79  11.19  12.71  14.69   8.02   9.64  13.89  10.74   6.86   8.65   6.39  13.27   7.46   6.12   6.46   7.10   9.37  11.58   5.91   5.22   4.48   2.38   8.69
193409  -1.97  -9.11  -3.29  -2.38  -4.28  -1.96  -0.54  -1.73  -2.24  -3.42  -1.97   1.21  -0.04  -2.53  -0.81  -1.19   0.52  -0.11  -0.92   2.17   0.20  -0.26  -0.68  -1.16   2.59
193410   3.34   0.07  -1.59  -7.91  -2.05  -6.00   0.46  -1.98  -0.95  -4.90   1.16   0.64  -0.26  -5.72  -7.12   0.12   0.49   1.88 -10.35  -9.97   0.33  -1.85  -5.69  -6.15  -7.19
193411   3.84  15.02  26.22  23.69  11.49  24.94  22.48  19.67  13.37   5.10  12.81  12.91  12.49  19.16   4.89  13.68  12.71  13.64  12.00   7.01  10.57   4.46   5.83  11.78   3.94
193412   6.62  -2.29   0.56  -1.47  -0.52   5.36   2.68   4.52   2.65   0.88   5.11   2.89   2.60   5.08  -4.01   3.18   3.80   3.63   1.21  -5.45   0.78   0.21  -1.24  -0.28  -4.13
193501  -5.39  -8.83 -11.98  -1.25  -1.98  -8.98  -1.53  -3.73  -3.57  -4.02  -4.24  -3.79  -2.77  -2.13  -3.77  -4.34  -2.52  -3.58  -5.59 -14.81  -1.91  -3.85  -2.45  -8.67 -14.04
193502  -9.20 -15.57  -9.07  -8.41 -10.54  -1.73  -4.96  -3.92  -4.37  -9.53   0.28  -3.35   0.72  -5.69 -12.51   0.28   1.03   1.16 -10.74 -22.12   0.34  -1.85  -4.41  -9.19 -13.48
193503  -5.39 -13.34  -9.63 -14.34 -10.31 -11.12  -7.00  -9.05  -6.78 -13.71  -1.47  -7.84  -5.37  -9.72 -12.96  -4.13  -5.67  -5.55  -6.35  -9.54  -3.52  -1.89  -1.32  -8.89  -7.63
193504  41.14   2.08  11.54  10.83  12.24   9.64   9.86  12.08   6.02  11.18   4.49  11.52   6.86   9.71  11.97   6.11   6.80   5.32   8.93  11.36   7.01  10.69  10.90  13.71  15.05
193505 -20.38  -1.92   8.54   1.37   0.96  -2.24  -0.52   5.27   5.28   0.37   4.17  -1.77   1.58  -1.57   3.47   0.06   1.48  -0.14   5.01   2.15   2.79   5.45   4.93   2.52   7.28
193506   3.07  -2.33  -2.76   3.08   2.80   8.14   8.02   7.25   3.72  -2.32  -3.24  11.39   7.87   3.18   5.26   5.39   8.69   6.28   3.77   2.38   6.54   5.53   4.41   7.63  16.98
193507   9.31  25.86  14.32  15.63  13.02  12.13  16.44  20.90  13.12  15.59   8.14   6.64  10.87   8.79  13.48   6.35   6.87   5.97   7.98  18.62   7.44   6.16   5.01  12.37  11.81
193508   6.63   5.35  14.96  14.41  19.85   8.63   4.72   9.09  13.13  14.71   1.32   1.15   4.92   6.15  14.24   0.76   2.77   4.77   2.09   5.66   2.61   0.98   2.01   3.55   5.48
193509  -8.82  11.71   0.81   6.44  -5.13  10.61   5.27   5.80   3.13   2.00   1.95   5.20   6.06   5.30  -7.55   2.69   3.00   1.94   3.84  -0.19   5.34  -0.95   1.51   0.28   1.69
193510  11.39   5.29  10.67  15.31   4.21   9.29  13.65   8.78  10.00   7.87   9.21   9.90  10.42   9.73   8.02   6.29   7.00   5.43  12.02   6.72   6.41   8.57   7.05   7.82   5.76
193511  34.22   6.22  31.96  19.66  41.48   5.96   5.98   9.83  11.41  22.53  13.26   7.80   8.06   6.68  15.40   3.71   2.25   8.33   8.77  13.05   2.56   5.43   5.66   6.75  20.16
193512   9.57   5.31  -1.78   6.52   1.81   8.80   9.48  13.69   6.04   1.02  11.35   6.34   9.65   7.59  11.74   7.77   2.96   7.56  15.50   7.12   2.63   4.58   5.74   5.82   8.86
193601  25.74  14.67  15.62  19.51  32.57  16.52  13.06   6.84  11.00  27.70   7.10  11.13   9.72  10.51  11.82   3.55   5.44   9.56  10.03   7.63   3.04   5.93   8.49  14.07  17.55
193602  11.15  16.85   7.94   9.48   9.45   1.76   4.30   7.16   7.36   3.57   0.68   2.39   4.70   8.57   3.87   3.42   2.33   7.27   2.90  10.26   1.91   1.05   3.99   3.45   2.86
193603   8.77   0.32   2.23   4.97   0.84  -0.44   0.91   3.24  -0.61   0.32   3.57   3.96   3.42   4.16   1.88  -1.60   0.80   0.87   2.27  -4.54   3.52   1.32  -2.21   1.74  -2.94
193604 -28.66 -29.08  -7.75 -14.61 -22.40 -19.40 -13.77 -17.93 -16.11 -19.27  -9.72  -9.42 -11.52 -12.44  -8.76  -8.76  -8.50 -11.96 -10.24 -14.42  -6.37  -8.16  -6.93 -10.92  -7.39
193605   2.04   8.80   1.32   9.89   6.34   5.05   5.68   7.65   5.54   6.95   1.78   2.79   6.91   4.12  12.34   5.56   2.22   2.65   5.20   7.84   5.38   4.96   4.82   5.97   7.20
193606  -1.07  -4.92   1.16  -3.11  -1.71  -2.20   1.23  -5.08  -2.56   0.03  -1.76   2.94   1.83   1.92  -3.06   0.68  -1.33   0.47   2.50  -1.79   4.06   1.88   2.69   2.00   2.02
193607  -0.58  -0.51  20.03   8.82   7.50  10.77  13.83   8.99   7.69   2.99   7.43   9.43   6.27   7.98  15.21   8.31   3.43   7.86  10.64  13.74   6.07   5.55   5.55  10.90   9.71
